year,month,description,source
-467,3,"Red glow, Babylon",Babylonian diary
-208,1,"Red glow northern sky, China",Han Shu
-185,8,"Northern sky bright, China",Shiji
-104,1,"Red aurora, China",Han Shu
37,3,"Red vapors, China",Hou Han Shu
185,3,"Red lights, China",Hou Han Shu
502,10,"Red sky, China/Korea",Wei Shu
536,1,"Dim sun, mystery cloud (volcanic?)",Procopius
567,1,"Red aurora, China",Sui Shu
620,11,"Red aurora, China",Tang Shu
682,3,"Northern lights, Anglo-Saxon Chronicle",Anglo-Saxon Chronicle
762,9,"Red aurora, China",Tang Shu
774,1,Red crucifix in sky (14C spike),Anglo-Saxon Chronicle
839,1,"Aurora, Constantinople",Theophanes
852,1,"Fire from sky, China",Tang Shu
992,1,"Red sky, Europe/China",Multiple sources
1088,9,"Red aurora, China",Song Shi
1129,1,"Aurora, Korea",Goryeosa
1138,1,"Red aurora, China",Song Shi
1202,3,Aurora visible in Levant,Crusader chronicles
1421,2,"Red aurora, China",Ming Shi
1570,11,"Great aurora, Europe",Multiple
1582,3,Red aurora visible from Lisbon,Portuguese records
1620,9,"Aurora, China/Japan",Ming Shi
1652,2,"Aurora, Japan",Japanese records
1681,4,"Aurora, China",Qing records
1707,12,"Great aurora, Europe",Multiple
1716,3,"Halley aurora, London",Halley
1730,2,"Red aurora, global",Multiple
1770,9,"Great aurora, global (Hayakawa)",Japanese/Chinese records
1788,2,"Aurora, mid-latitudes",European records
1859,9,Carrington event,Multiple global
1872,2,Chapman-Silverman storm,Multiple global
1882,11,Great aurora,Multiple
1903,10,Aurora visible in Mediterranean,Multiple
1909,9,Aurora storm,Multiple
1921,5,Railroad storm,Multiple
1938,1,Aurora visible Europe,Multiple
1946,3,Aurora visible mid-latitudes,Multiple
1958,2,Great aurora,Multiple
1989,3,Quebec blackout,Multiple
2003,10,Halloween storms,Multiple
2024,5,Mother Day storm,Multiple
