start_year,end_year,description,F_egypt_uT,dFdt_egypt
-2200,-2150,First Intermediate Period collapse (Old Kingdom fall),44.5,-1.77
-1200,-1100,Bronze Age Collapse drought,51.9,3.19
-1070,-1000,Third Intermediate Period,58.9,9.47
200,300,Roman Imperial crisis (Nile low),46.2,-1.26
740,760,Abbasid period low,53.8,6.91
967,969,Fatimid famine,56.8,-3.54
1065,1072,Mustansir famine (worst recorded),53.1,-4.36
1200,1202,Crusader period famine,46.7,-2.16
1294,1296,Mamluk famine,44.9,-2.01
1600,1610,Little Ice Age minimum (Nile affected),47.1,-1.16
1877,1878,El Nino related failure,38.4,2.17
