start_Ma,end_Ma,name
0.0,0.781,C1n (Brunhes)
0.781,0.988,C1r.1r
0.988,1.072,C1r.1n (Jaramillo)
1.072,1.173,C1r.2r
1.173,1.185,C1r.2n (Cobb Mountain)
1.185,1.778,C1r.3r
1.778,1.945,C2n (Olduvai)
1.945,2.128,C2r.1r
2.128,2.148,C2r.1n (Reunion)
2.148,2.581,C2r.2r
2.581,3.032,C2An.1n (Gauss)
3.032,3.116,C2An.1r (Kaena)
3.116,3.207,C2An.2n
3.207,3.33,C2An.2r (Mammoth)
3.33,3.596,C2An.3n
3.596,4.187,C3n (Gilbert)
4.187,4.3,C3n.1r
4.3,4.493,C3n.2n (Cochiti)
4.493,4.632,C3n.2r
4.632,4.799,C3n.3n (Nunivak)
4.799,4.896,C3n.3r
4.896,4.997,C3n.4n (Sidufjall)
4.997,5.235,C3n.4r
5.235,6.033,C3An
6.033,6.252,C3Ar
6.252,6.436,C3Bn
6.436,6.733,C3Br
6.733,7.14,C4n
7.14,7.212,C4r.1r
7.212,7.251,C4r.1n
7.251,7.65,C4r.2r
7.65,8.072,C4An
8.072,8.225,C4Ar.1r
8.225,8.257,C4Ar.1n
8.257,8.699,C4Ar.2r
8.699,9.025,C5n.1n
9.025,9.23,C5n.1r
9.23,9.308,C5n.2n
9.308,9.58,C5r
9.58,9.642,C5r.1n
9.642,9.74,C5r.2r
